date,average_rating,google_shopping,google_trends,penetration_score,real_volume,review_count,Sales,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sep,Oct,Nov,Dec
2017-01-01,4.25446781591017,32.0,34.0,28997.0,1242125.0,12646.0,107464029.0,1,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,4.243509169585823,33.0,36.0,27371.0,1105637.0,19412.0,179375388.0,0,1,0,0,0,0,0,0,0,0,0,0
2017-03-01,4.482681847645352,31.0,36.0,29846.0,1256392.0,35483.0,198529127.0,0,0,1,0,0,0,0,0,0,0,0,0
2017-04-01,4.355002748763057,30.0,39.0,28582.0,1858265.0,14552.0,151623951.0,0,0,0,1,0,0,0,0,0,0,0,0
2017-05-01,4.341356830718533,38.0,40.0,27645.0,1543947.0,13959.0,201773866.0,0,0,0,0,1,0,0,0,0,0,0,0
2017-06-01,4.511189560612746,35.0,43.0,26663.0,1514768.0,15863.0,214110767.0,0,0,0,0,0,1,0,0,0,0,0,0
2017-07-01,4.282110918203558,32.0,42.0,27236.0,2001896.0,30527.0,144085614.0,0,0,0,0,0,0,1,0,0,0,0,0
2017-08-01,4.449678241270049,31.0,40.0,26919.0,1458483.0,30613.0,170488679.0,0,0,0,0,0,0,0,1,0,0,0,0
2017-09-01,4.521417273014869,35.0,41.0,25160.0,1620940.0,15805.0,212448666.0,0,0,0,0,0,0,0,0,1,0,0,0
2017-10-01,4.41994957453514,37.0,45.0,23623.0,2144480.0,19038.0,155582117.0,0,0,0,0,0,0,0,0,0,1,0,0
2017-11-01,4.432313870868088,48.0,89.0,23190.0,2681977.0,16185.0,208365191.0,0,0,0,0,0,0,0,0,0,0,1,0
2017-12-01,4.5348655538195874,74.0,72.0,26154.0,4387255.0,24322.0,748256238.0,0,0,0,0,0,0,0,0,0,0,0,1
2018-01-01,4.602783725910064,38.0,43.0,28449.0,1605799.0,25218.0,118194280.0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,4.415789805305274,40.0,49.0,24930.0,1736865.0,15871.0,201419955.0,0,1,0,0,0,0,0,0,0,0,0,0
2018-03-01,4.364588600736835,34.0,43.0,28257.0,1419595.0,13843.0,217405562.0,0,0,1,0,0,0,0,0,0,0,0,0
2018-04-01,4.521950422673255,36.0,42.0,27972.0,1885757.0,24487.0,183106618.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-05-01,4.590591204037491,45.0,43.0,27861.0,1624811.0,27740.0,213127553.0,0,0,0,0,1,0,0,0,0,0,0,0
2018-06-01,4.600914177634172,36.0,41.0,27124.0,1630988.0,25378.0,238197088.0,0,0,0,0,0,1,0,0,0,0,0,0
2018-07-01,4.504536401858818,35.0,42.0,27684.0,1829330.0,13557.0,167565870.0,0,0,0,0,0,0,1,0,0,0,0,0
2018-08-01,4.430876192173991,36.0,43.0,26088.0,1542376.0,11219.0,192388806.0,0,0,0,0,0,0,0,1,0,0,0,0
2018-09-01,4.514619098712446,40.0,42.0,24125.0,1940934.0,14912.0,223668828.0,0,0,0,0,0,0,0,0,1,0,0,0
2018-10-01,4.5135713110709,41.0,41.0,23397.0,1596964.0,24316.0,160527593.0,0,0,0,0,0,0,0,0,0,1,0,0
2018-11-01,4.344280508399254,53.0,55.0,23144.0,2545519.0,22502.0,264339080.0,0,0,0,0,0,0,0,0,0,0,1,0
2018-12-01,4.516461481066965,76.0,82.0,26193.0,4389148.0,42888.0,737229725.0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-01,4.5615858989202085,42.0,46.0,28077.0,1549504.0,42323.0,122691107.0,1,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,4.344570044408559,43.0,48.0,25513.0,1712005.0,19816.0,212590523.0,0,1,0,0,0,0,0,0,0,0,0,0
