ds,average_rating,google_shopping,google_trends,penetration_score,real_volume,review_count,y,t-1,Q_1,Q_2,Q_3,Q_4,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12
2017-02-01,0.0,0.96875,0.8181818181818181,0.6589287344926099,0.39527004605311067,0.15744751062162277,0.6617556683981657,0.46583177956382993,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-03-01,0.1634330922009557,0.96875,0.9272727272727272,0.8044014245274403,0.6017304314747516,0.11978715505506748,0.9580273914157208,0.6617556683981657,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017-04-01,0.3945483805050394,0.65625,0.8,0.6885281187628004,0.9659724976325947,0.08676043943956335,0.6581623677553914,0.9580273914157208,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-05-01,0.5938850349385785,0.75,0.6909090909090909,0.7083567058455197,0.38586193779187883,0.08465673940243923,0.5960624766936291,0.6581623677553914,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-06-01,0.48225120376593367,0.859375,0.7272727272727273,0.7222758521726652,0.4017304314747516,0.044452694248511615,0.7285283947541067,0.5960624766936291,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017-07-01,0.6595648982584947,0.796875,0.7454545454545454,0.6846667623309025,0.9305561176175405,0.14521030125534523,0.49477785868311197,0.7285283947541067,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-08-01,1.0,0.671875,0.709090909090909,0.7182775219484195,0.433435044070156,0.608711793094914,0.6144818036238024,0.49477785868311197,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-09-01,0.6998778997526962,0.46875,0.7272727272727273,0.6737610394354071,0.5255477406457147,0.6965997057569883,0.9408828436975031,0.6144818036238024,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-10-01,0.49414773641519716,0.6875,0.8,0.6969422231498753,0.8546097626119964,0.35287161929904165,0.6621697192683184,0.9408828436975031,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2017-11-01,0.3516827020857054,0.8125,0.6545454545454545,0.6059394445386591,0.4518028700233907,0.2598413287684418,0.7196962892607601,0.6621697192683184,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2017-12-01,0.4063907200655734,0.703125,0.709090909090909,0.5939835892351645,0.9447346482885888,0.28417825076654435,0.9970093678314057,0.7196962892607601,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2018-01-01,0.33186720534924063,0.890625,0.7272727272727273,0.7678228994090558,0.5577428310117925,0.38101720084148005,0.47903236793043913,0.9970093678314057,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,0.20897169348664235,0.890625,0.8181818181818181,0.7540342043127176,0.6812784796807847,0.2688748642219747,0.6630498821043832,0.47903236793043913,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-03-01,0.07940832836435519,1.0,0.8545454545454545,0.7297376625748463,0.6794250240787354,0.4089702869556848,0.9999999999999999,0.6630498821043832,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018-04-01,0.2720414939275617,0.984375,0.7272727272727273,0.7005231094355374,0.9999999999999998,0.4042128999436264,0.6639167086196508,0.9999999999999999,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-05-01,0.49314447219880897,0.71875,0.509090909090909,0.6544216444682155,0.4243814395441632,0.2994816373111139,0.5952896087474397,0.6639167086196508,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018-06-01,0.46718724514701826,0.71875,0.5272727272727273,0.616956050980341,0.36988498862836194,0.18688556146791518,0.7069936291186903,0.5952896087474397,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018-07-01,0.4709069285739833,0.640625,0.6000000000000001,0.584356288401581,0.7635686709347405,0.21911479602359446,0.5125443582888973,0.7069936291186903,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2018-08-01,0.47905210145207455,0.609375,0.4363636363636363,0.6534302151140795,0.5238901524042314,0.34970919440663284,0.6318792401233608,0.5125443582888973,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-09-01,0.49280999108522217,0.703125,0.5454545454545454,0.6092007253088433,0.8072584235105582,0.35361410166508545,0.794699036357427,0.6318792401233608,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2018-10-01,0.5017680670635833,0.546875,0.4545454545454546,0.6459684047118984,0.37996001715862815,0.2735910022136975,0.5582977932172969,0.794699036357427,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2018-11-01,0.6256876090244585,0.421875,0.49090909090909096,0.5440403355205656,0.289814087881314,0.22186473071264562,0.6395101771270107,0.5582977932172969,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2018-12-01,0.43230508764586517,0.296875,0.49090909090909096,0.42870187980223595,0.8242373718161435,0.18226567119030923,0.9278642665803344,0.6395101771270107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-01,0.28956060525711536,0.578125,0.6000000000000001,0.6244961321210066,0.5206996187870792,0.3515104016279613,0.4484460449647035,0.9278642665803344,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,0.08205817012075656,0.609375,0.4363636363636363,0.5508368446456292,0.4419042839914853,0.3285071979540486,0.6138269023710515,0.4484460449647035,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-03-01,0.43146657618378015,0.609375,0.49090909090909096,0.5278187249696701,0.9639199371929454,0.5599967000783732,0.9299946099151232,0.6138269023710515,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-04-01,0.4011093086318809,0.53125,0.4181818181818182,0.4609885594270582,0.5053442652141187,0.49049210081260575,0.5966705085388403,0.9299946099151232,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-05-01,0.3302583627841802,0.4375,0.36363636363636376,0.37449939340177674,0.4760256731928807,0.33693574777599034,0.5870898041815381,0.5966705085388403,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-06-01,0.1148444977360974,0.421875,0.4181818181818182,0.5557483334855264,0.7559622186430115,0.16492733297584183,0.681364317704042,0.5870898041815381,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-07-01,0.5946477308229667,0.390625,0.3272727272727274,0.4860221506189911,0.34889318753895093,0.2925105528743692,0.47083482271033694,0.681364317704042,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-08-01,0.2899239817836463,0.375,0.34545454545454546,0.7599371225067507,0.3419552742547731,0.5463157750003438,0.6286062790049096,0.47083482271033694,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-09-01,0.2800390997485742,0.375,0.23636363636363633,0.6642902800787925,0.7493059658608046,0.47602744434819677,0.7512871077546496,0.6286062790049096,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-10-01,0.2920824741994057,0.359375,0.25454545454545463,0.7078544686069114,0.29097796087509,0.41420891253832726,0.5234819337113024,0.7512871077546496,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-11-01,0.15794630078141836,0.484375,0.290909090909091,0.5114144826956443,0.22052074818094258,0.1882330294655502,0.610207457869742,0.5234819337113024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-01,0.08083476621552954,0.234375,0.25454545454545463,0.5258293436998578,0.6231528170097043,0.1759133220586011,0.8949591886951566,0.610207457869742,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,0.3617774719285318,0.390625,0.3090909090909091,0.6957551169495283,0.34911981093134115,0.5834536429759793,0.43261377198447326,0.8949591886951566,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0.3746725284837087,0.578125,0.3272727272727274,0.5596162124789648,0.40191982388124936,0.5459995325111029,0.5765670487682812,0.43261377198447326,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-01,0.3119424234613728,0.203125,0.07272727272727275,0.7943044992629505,0.4176669121753418,0.35030043036477887,0.42507912843613793,0.5765670487682812,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-01,0.2879450066094087,0.15625,0.1454545454545455,0.9999999999999999,0.15932595728149046,0.3299646633392457,0.0,0.42507912843613793,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-01,0.11292030274506004,0.125,0.12727272727272732,0.7749390140495976,0.7717254943222747,0.18577183791884944,0.08464880079933867,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-06-01,0.19032000214413713,0.046875,0.07272727272727275,0.44123824308282344,0.6695701439867909,0.08589421001251224,0.30670097997166856,0.08464880079933867,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-07-01,0.45499477173437697,0.09375,0.018181818181818188,0.4070274078035926,0.22486867983780234,0.2654924445544419,0.17980858643837777,0.30670097997166856,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-01,0.5894163967021857,0.015625,0.018181818181818188,0.3918885424683982,0.6300502618309551,0.4972981891680073,0.22494462937468318,0.17980858643837777,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-09-01,0.45058997035600434,0.09375,0.0,0.3445543133699467,0.2174160077051952,0.32116487233428204,0.4330584716701351,0.22494462937468318,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-01,0.5805401487029176,0.15625,0.10909090909090913,0.3865987450591596,0.14825378582470683,0.1873668000384991,0.244469284581861,0.4330584716701351,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-11-01,0.24477502450779554,0.234375,0.018181818181818188,0.30612990333563794,0.3085380363083048,0.008978536759751965,0.28941193026466694,0.244469284581861,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-12-01,0.5909550672875472,0.046875,0.054545454545454564,0.3476590526631619,0.0774453068723544,0.2866944410070261,0.43612246047042746,0.28941193026466694,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-01-01,0.8807311854014106,0.109375,0.1636363636363637,0.43126524648760056,0.5051176418217282,1.0,0.19478452615677938,0.43612246047042746,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,0.5891510037343561,0.296875,0.1454545454545455,0.31814446169299604,0.22648903709339296,0.704327022233222,0.25296080571375223,0.19478452615677938,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-03-01,0.8297147947542154,0.296875,0.21818181818181825,0.274149784103213,0.31608135779786806,0.9893852521002626,0.6347147671727329,0.25296080571375223,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-04-01,0.46831220992954137,0.375,0.18181818181818188,0.18259258776106557,0.23097779900123827,0.5600654484455995,0.405875183588156,0.6347147671727329,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-05-01,0.7930570768201939,0.25,0.1636363636363637,0.1563197098764627,0.372699974909553,0.8960112197335313,0.35453651536482533,0.405875183588156,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-06-01,0.6424919729302285,0.203125,0.07272727272727275,0.1229241947897779,0.0,0.26903986030331783,0.49939313903156324,0.35453651536482533,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021-07-01,0.6730786779230922,0.09375,0.20000000000000007,0.10960512412434609,0.16146107338551063,0.25072529527423726,0.3183035309942035,0.49939313903156324,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2021-08-01,0.48808059390824354,0.09375,0.18181818181818188,0.09657956872823092,0.2744958221231435,0.030496775701577106,0.33569954596008267,0.3183035309942035,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021-09-01,0.2863944079649503,0.0,0.1454545454545455,0.07129812019776405,0.23778169203635757,0.00798856027169359,0.5690937715240887,0.33569954596008267,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-01,0.46713460659527506,0.109375,0.23636363636363633,0.08634566967139334,0.18617126977785237,0.038196592830920306,0.3533698757221777,0.5690937715240887,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2021-11-01,0.34502290909984445,0.03125,0.25454545454545463,0.0,0.11173851483411013,0.0,0.4508001665433149,0.3533698757221777,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-01,0.37762141030362883,0.109375,0.20000000000000007,0.021674471998643308,0.32374199486803135,0.13275309711394356,0.6172275748993219,0.4508001665433149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-01,0.3838670292634152,0.15625,0.1636363636363637,0.10745920137756504,0.26853278348014986,0.026468121382117182,0.25555377241972355,0.6172275748993219,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,0.25097067916509097,0.15625,0.3272727272727274,0.04931056524518307,0.12626221988834585,0.185964333347083,0.3930358570608192,0.25555377241972355,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-01,0.3631930429929362,0.1875,0.290909090909091,0.07948393493092609,0.345760591889511,0.3660300567861513,0.7419971036010929,0.3930358570608192,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
