,ds,average_rating,google_shopping,google_trends,penetration_score,real_volume,review_count,y
0,2017-01-01,3.966688456007321,94.0,98.0,188856.0,1158800.0,38245.0,106229341.0
1,2017-02-01,3.944143339922209,97.0,88.0,164689.0,904981.0,31366.0,134759263.0
2,2017-03-01,4.0106542774303975,97.0,94.0,186992.0,1032525.0,28627.0,177901573.0
3,2017-04-01,4.104709246901812,77.0,87.0,169227.0,1257541.0,26225.0,134236016.0
4,2017-05-01,4.185831543418226,83.0,81.0,172267.0,899169.0,26072.0,125193193.0
5,2017-06-01,4.140400898565751,90.0,83.0,174401.0,908972.0,23148.0,144482532.0
6,2017-07-01,4.212560703504397,86.0,84.0,168635.0,1235662.0,30476.0,110444393.0
7,2017-08-01,4.351104602249712,78.0,82.0,173788.0,928558.0,64186.0,127875367.0
8,2017-09-01,4.228966533480688,65.0,83.0,166963.0,985462.0,70578.0,175405029.0
9,2017-10-01,4.145242326510016,79.0,87.0,170517.0,1188745.0,45579.0,134819556.0
10,2017-11-01,4.087264576301755,87.0,79.0,156565.0,939905.0,38813.0,143196424.0
11,2017-12-01,4.109528620358278,80.0,82.0,154732.0,1244421.0,40583.0,183578026.0
12,2018-01-01,4.079200436736237,92.0,83.0,181384.0,1005351.0,47626.0,108151576.0
13,2018-02-01,4.029186724094249,92.0,88.0,179270.0,1081667.0,39470.0,134947723.0
14,2018-03-01,3.976459453472684,99.0,90.0,175545.0,1080522.0,49659.0,184013514.0
15,2018-04-01,4.054853689696429,98.0,83.0,171066.0,1278562.0,49313.0,135073948.0
16,2018-05-01,4.144834036838066,81.0,71.0,163998.0,922965.0,41696.0,125080650.0
17,2018-06-01,4.134270450950548,81.0,72.0,158254.0,889299.0,33507.0,141346696.0
18,2018-07-01,4.135784218013445,76.0,76.0,153256.0,1132503.0,35851.0,113031504.0
19,2018-08-01,4.139098987849788,74.0,67.0,163846.0,984438.0,45349.0,130408736.0
20,2018-09-01,4.144697915981856,80.0,73.0,157065.0,1159493.0,45633.0,154118127.0
21,2018-10-01,4.148343505890036,70.0,68.0,162702.0,895523.0,39813.0,119693999.0
22,2018-11-01,4.198773959113479,62.0,70.0,147075.0,839834.0,36051.0,131519933.0
23,2018-12-01,4.120074764101172,54.0,70.0,129392.0,1169982.0,33171.0,173509298.0
24,2019-01-01,4.06198328935796,72.0,76.0,159410.0,982467.0,45480.0,103697676.0
